  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
   0.0000000000   0.0016935434   0.0037709899
   0.0500834725   0.0017068553   0.0038178028
   0.1001669449   0.0017203316   0.0038655555
   0.1502504174   0.0017339751   0.0039142747
   0.2003338898   0.0017477888   0.0039639884
   0.2504173623   0.0017617755   0.0040147253
   0.3005008347   0.0017759384   0.0040665155
   0.3505843072   0.0017902804   0.0041193901
   0.4006677796   0.0018048047   0.0041733815
   0.4507512521   0.0018195147   0.0042285232
   0.5008347245   0.0018344135   0.0042848504
   0.5509181970   0.0018495046   0.0043423993
   0.6010016694   0.0018647914   0.0044012078
   0.6510851419   0.0018802775   0.0044613153
   0.7011686144   0.0018959665   0.0045227628
   0.7512520868   0.0019118621   0.0045855931
   0.8013355593   0.0019279682   0.0046498508
   0.8514190317   0.0019442885   0.0047155823
   0.9015025042   0.0019608271   0.0047828360
   0.9515859766   0.0019775881   0.0048516625
   1.0016694491   0.0019945756   0.0049221146
   1.0517529215   0.0020117940   0.0049942474
   1.1018363940   0.0020292476   0.0050681186
   1.1519198664   0.0020469410   0.0051437884
   1.2020033389   0.0020648787   0.0052213198
   1.2520868114   0.0020830654   0.0053007788
   1.3021702838   0.0021015061   0.0053822343
   1.3522537563   0.0021202057   0.0054657587
   1.4023372287   0.0021391692   0.0055514278
   1.4524207012   0.0021584020   0.0056393211
   1.5025041736   0.0021779093   0.0057295220
   1.5525876461   0.0021976967   0.0058221181
   1.6026711185   0.0022177699   0.0059172014
   1.6527545910   0.0022381346   0.0060148685
   1.7028380634   0.0022587968   0.0061152213
   1.7529215359   0.0022797626   0.0062183666
   1.8030050083   0.0023010382   0.0063244173
   1.8530884808   0.0023226302   0.0064334920
   1.9031719533   0.0023445451   0.0065457161
   1.9532554257   0.0023667897   0.0066612217
   2.0033388982   0.0023893710   0.0067801483
   2.0534223706   0.0024122963   0.0069026435
   2.1035058431   0.0024355729   0.0070288632
   2.1535893155   0.0024592084   0.0071589724
   2.2036727880   0.0024832106   0.0072931461
   2.2537562604   0.0025075875   0.0074315694
   2.3038397329   0.0025323474   0.0075744390
   2.3539232053   0.0025574989   0.0077219636
   2.4040066778   0.0025830506   0.0078743652
   2.4540901503   0.0026090115   0.0080318796
   2.5041736227   0.0026353911   0.0081947581
   2.5542570952   0.0026621987   0.0083632685
   2.6043405676   0.0026894443   0.0085376963
   2.6544240401   0.0027171379   0.0087183466
   2.7045075125   0.0027452901   0.0089055454
   2.7545909850   0.0027739115   0.0090996416
   2.8046744574   0.0028030134   0.0093010088
   2.8547579299   0.0028326071   0.0095100479
   2.9048414023   0.0028627045   0.0097271893
   2.9549248748   0.0028933176   0.0099528958
   3.0050083472   0.0029244592   0.0101876653
   3.0550918197   0.0029561422   0.0104320348
   3.1051752922   0.0029883799   0.0106865836
   3.1552587646   0.0030211863   0.0109519379
   3.2053422371   0.0030545755   0.0112287753
   3.2554257095   0.0030885624   0.0115178306
   3.3055091820   0.0031231622   0.0118199011
   3.3555926544   0.0031583907   0.0121358540
   3.4056761269   0.0031942642   0.0124666335
   3.4557595993   0.0032307995   0.0128132700
   3.5058430718   0.0032680142   0.0131768894
   3.5559265442   0.0033059262   0.0135587244
   3.6060100167   0.0033445544   0.0139601274
   3.6560934891   0.0033839179   0.0143825849
   3.7061769616   0.0034240370   0.0148277341
   3.7562604341   0.0034649324   0.0152973821
   3.8063439065   0.0035066256   0.0157935280
   3.8564273790   0.0035491390   0.0163183885
   3.9065108514   0.0035924957   0.0168744271
   3.9565943239   0.0036367198   0.0174643891
   4.0066777963   0.0036818362   0.0180913416
   4.0567612688   0.0037278708   0.0187587200
   4.1068447412   0.0037748505   0.0194703843
   4.1569282137   0.0038228033   0.0202306837
   4.2070116861   0.0038717582   0.0210445341
   4.2570951586   0.0039217454   0.0219175099
   4.3071786311   0.0039727963   0.0228559542
   4.3572621035   0.0040249436   0.0238671100
   4.4073455760   0.0040782213   0.0249592790
   4.4574290484   0.0041326648   0.0261420136
   4.5075125209   0.0041883111   0.0274263503
   4.5575959933   0.0042451987   0.0288250951
   4.6076794658   0.0043033675   0.0303531741
   4.6577629382   0.0043628595   0.0320280665
   4.7078464107   0.0044237183   0.0338703427
   4.7579298831   0.0044859895   0.0359043361
   4.8080133556   0.0045497206   0.0381589871
   4.8580968280   0.0046149616   0.0406689101
   4.9081803005   0.0046817643   0.0434757485
   4.9582637730   0.0047501831   0.0466299076
   5.0083472454   0.0048202751   0.0501927804
   5.0584307179   0.0048920999   0.0542396216
   5.1085141903   0.0049657198   0.0588632728
   5.1585976628   0.0050412005   0.0641790014
   5.2086811352   0.0051186106   0.0703307883
   5.2587646077   0.0051980221   0.0774994651
   5.3088480801   0.0052795108   0.0859131377
   5.3589315526   0.0053631561   0.0958602556
   5.4090150250   0.0054490417   0.1077053142
   5.4590984975   0.0055372554   0.1219061070
   5.5091819699   0.0056278899   0.1390288488
   5.5592654424   0.0057210426   0.1597516909
   5.6093489149   0.0058168162   0.1848352215
   5.6594323873   0.0059153192   0.2150163776
   5.7095158598   0.0060166659   0.2507482063
   5.7595993322   0.0061209771   0.2916782576
   5.8096828047   0.0062283805   0.3358059382
   5.8597662771   0.0063390111   0.3785524078
   5.9098497496   0.0064530120   0.4126300480
   5.9599332220   0.0065705346   0.4300284649
   6.0100166945   0.0066917395   0.4260621272
   6.0601001669   0.0068167972   0.4024171704
   6.1101836394   0.0069458887   0.3660173504
   6.1602671119   0.0070792064   0.3249540198
   6.2103505843   0.0072169551   0.2852789122
   6.2604340568   0.0073593529   0.2502187843
   6.3105175292   0.0075066322   0.2208659360
   6.3606010017   0.0076590412   0.1971284885
   6.4106844741   0.0078168447   0.1784163940
   6.4607679466   0.0079803262   0.1640203560
   6.5108514190   0.0081497890   0.1532851841
   6.5609348915   0.0083255581   0.1456732359
   6.6110183639   0.0085079822   0.1407774979
   6.6611018364   0.0086974359   0.1383155233
   6.7111853088   0.0088943222   0.1381190036
   6.7612687813   0.0090990747   0.1401254443
   6.8113522538   0.0093121611   0.1443745877
   6.8614357262   0.0095340864   0.1510105782
   6.9115191987   0.0097653966   0.1602901088
   6.9616026711   0.0100066826   0.1725960841
   7.0116861436   0.0102585852   0.1884548789
   7.0617696160   0.0105218003   0.2085518202
   7.1118530885   0.0107970848   0.2337318075
   7.1619365609   0.0110852632   0.2649561421
   7.2120200334   0.0113872352   0.3031574990
   7.2621035058   0.0117039843   0.3488913942
   7.3121869783   0.0120365875   0.4016480379
   7.3622704508   0.0123862265   0.4587605582
   7.4123539232   0.0127542003   0.5142327970
   7.4624373957   0.0131419400   0.5586151634
   7.5125208681   0.0135510248   0.5815132536
   7.5626043406   0.0139832022   0.5766159778
   7.6126878130   0.0144404092   0.5456157686
   7.6627712855   0.0149247989   0.4971237285
   7.7128547579   0.0154387697   0.4417032440
   7.7629382304   0.0159850006   0.3875763070
   7.8130217028   0.0165664914   0.3393119695
   7.8631051753   0.0171866111   0.2985740607
   7.9131886477   0.0178491538   0.2653537924
   7.9632721202   0.0185584050   0.2389101405
   8.0133555927   0.0193192213   0.2183066688
   8.0634390651   0.0201371237   0.2026641850
   8.1135225376   0.0210184106   0.1912572226
   8.1636060100   0.0219702927   0.1835373535
   8.2136894825   0.0230010567   0.1791275259
   8.2637729549   0.0241202627   0.1778079485
   8.3138564274   0.0253389858   0.1795009900
   8.3639398998   0.0266701115   0.1842545755
   8.4140233723   0.0281286994   0.1922163461
   8.4641068447   0.0297324331   0.2035810763
   8.5141903172   0.0315021808   0.2184801202
   8.5642737896   0.0334626967   0.2367702328
   8.6143572621   0.0356435029   0.2576992478
   8.6644407346   0.0380800078   0.2795449107
   8.7145242070   0.0408149281   0.2995834674
   8.7646076795   0.0439001108   0.3149061493
   8.8146911519   0.0473988776   0.3240377816
   8.8647746244   0.0513890550   0.3281248033
   8.9148580968   0.0559669066   0.3304649658
   8.9649415693   0.0612522420   0.3349192591
   9.0150250417   0.0673950512   0.3446977176
   9.0651085142   0.0745840712   0.3620845120
   9.1151919866   0.0830577069   0.3886837624
   9.1652754591   0.0931175912   0.4256519025
   9.2153589316   0.1051445629   0.4736099637
   9.2654424040   0.1196154692   0.5320721140
   9.3155258765   0.1371159753   0.5983403317
   9.3656093489   0.1583375513   0.6661861891
   9.4156928214   0.1840328309   0.7254392163
   9.4657762938   0.2148789302   0.7641289136
   9.5158597663   0.2511649084   0.7733801986
   9.5659432387   0.2922049446   0.7520642897
   9.6160267112   0.3354766074   0.7073919276
   9.6661101836   0.3758554344   0.6510833308
   9.7161936561   0.4059307145   0.5943588295
   9.7662771285   0.4184208847   0.5450098317
   9.8163606010   0.4099579512   0.5071712218
   9.8664440735   0.3831994874   0.4824847792
   9.9165275459   0.3451474884   0.4713594480
   9.9666110184   0.3033828741   0.4737926009
  10.0166944908   0.2633814715   0.4896938582
  10.0667779633   0.2279724769   0.5187548213
  10.1168614357   0.1980326677   0.5598621323
  10.1669449082   0.1733678279   0.6100866301
  10.2170283806   0.1533388748   0.6636258319
  10.2671118531   0.1372043606   0.7117400688
  10.3171953255   0.1242744325   0.7448143683
  10.3672787980   0.1139640453   0.7558243329
  10.4173622705   0.1057997974   0.7423151757
  10.4674457429   0.0994086909   0.7057976145
  10.5175292154   0.0945019780   0.6507906692
  10.5676126878   0.0908595673   0.5843315646
  10.6176961603   0.0883168934   0.5144194168
  10.6677796327   0.0867546236   0.4476575984
  10.7178631052   0.0860910106   0.3879401843
  10.7679465776   0.0862765445   0.3366717685
  10.8180300501   0.0872905849   0.2936785277
  10.8681135225   0.0891397421   0.2580474718
  10.9181969950   0.0918578849   0.2286522087
  10.9682804674   0.0955077707   0.2044125152
  11.0183639399   0.1001844127   0.1843941092
  11.0684474124   0.1060204218   0.1678291844
  11.1185308848   0.1131936879   0.1541037856
  11.1686143573   0.1219378702   0.1427347200
  11.2186978297   0.1325562121   0.1333459238
  11.2687813022   0.1454390400   0.1256479934
  11.3188647746   0.1610846840   0.1194218350
  11.3689482471   0.1801218299   0.1145063055
  11.4190317195   0.2033272167   0.1107893862
  11.4691151920   0.2316236995   0.1082024243
  11.5191986644   0.2660259810   0.1067170891
  11.5692821369   0.3074703158   0.1063448321
  11.6193656093   0.3564228861   0.1071387801
  11.6694490818   0.4121443619   0.1091980651
  11.7195325543   0.4716093189   0.1126745568
  11.7696160267   0.5285230976   0.1177816271
  11.8196994992   0.5735838559   0.1248036145
  11.8697829716   0.5971851616   0.1341023335
  11.9198664441   0.5939299351   0.1461119323
  11.9699499165   0.5657878495   0.1613033620
  12.0200333890   0.5210490249   0.1800821707
  12.0701168614   0.4699977878   0.2025600253
  12.1202003339   0.4209384269   0.2281326820
  12.1702838063   0.3787687852   0.2548765907
  12.2203672788   0.3455407049   0.2790642531
  12.2704507513   0.3215775095   0.2955514787
  12.3205342237   0.3063097791   0.2997168650
  12.3706176962   0.2986252079   0.2901282245
  12.4207011686   0.2968049026   0.2695101754
  12.4707846411   0.2982557689   0.2429541049
  12.5208681135   0.2994627967   0.2152654860
  12.5709515860   0.2967280909   0.1895509386
  12.6210350584   0.2877297067   0.1672221404
  12.6711185309   0.2727341795   0.1485812303
  12.7212020033   0.2541820456   0.1333777290
  12.7712854758   0.2350833195   0.1211608499
  12.8213689482   0.2177217122   0.1114582222
  12.8714524207   0.2033155240   0.1038504926
  12.9215358932   0.1922762399   0.0979936797
  12.9716193656   0.1845807586   0.0936188453
  13.0217028381   0.1800442876   0.0905237653
  13.0717863105   0.1784742864   0.0885631976
  13.1218697830   0.1797451499   0.0876404029
  13.1719532554   0.1838318695   0.0877008130
  13.2220367279   0.1908268648   0.0887280378
  13.2721202003   0.2009529480   0.0907421855
  13.3222036728   0.2145785775   0.0938004736
  13.3722871452   0.2322373416   0.0980002059
  13.4223706177   0.2546497139   0.1034843269
  13.4724540902   0.2827389613   0.1104499062
  13.5225375626   0.3176210103   0.1191600116
  13.5726210351   0.3605247201   0.1299594145
  13.6227045075   0.4125590317   0.1432942265
  13.6727879800   0.4741925186   0.1597344651
  13.7228714524   0.5443002290   0.1799957263
  13.7729549249   0.6188184117   0.2049497267
  13.8230383973   0.6896549755   0.2355999898
  13.8731218698   0.7453514809   0.2729731829
  13.9232053422   0.7747502069   0.3178347225
  13.9732888147   0.7723346759   0.3700918599
  14.0233722871   0.7413255348   0.4277700144
  14.0734557596   0.6919824263   0.4857277908
  14.1235392321   0.6366819748   0.5350211584
  14.1736227045   0.5855405691   0.5646124303
  14.2237061770   0.5448017416   0.5661649104
  14.2737896494   0.5174580899   0.5390508208
  14.3238731219   0.5045630985   0.4907780479
  14.3739565943   0.5062431686   0.4323642424
  14.4240400668   0.5221135488   0.3732230494
  14.4741235392   0.5510999171   0.3190059700
  14.5242070117   0.5907747626   0.2720317995
  14.5742904841   0.6365668492   0.2325661840
  14.6243739566   0.6816693960   0.1999045318
  14.6744574290   0.7184682608   0.1730224495
  14.7245409015   0.7408036503   0.1508929094
  14.7746243740   0.7448318170   0.1326114629
  14.8247078464   0.7282019828   0.1174276632
  14.8747913189   0.6903209865   0.1047368456
  14.9248747913   0.6343229574   0.0940585452
  14.9749582638   0.5673844322   0.0850130257
  15.0250417362   0.4979326771   0.0773002763
  15.0751252087   0.4324925088   0.0706826658
  15.1252086811   0.3745491835   0.0649711634
  15.1752921536   0.3251212386   0.0600146053
  15.2253756260   0.2838060729   0.0556914109
  15.2754590985   0.2495986354   0.0519032109
  15.3255425710   0.2213600866   0.0485699444
  15.3756260434   0.1980333142   0.0456260774
  15.4257095159   0.1787179071   0.0430176750
  15.4757929883   0.1626791047   0.0407001242
  15.5258764608   0.1493307039   0.0386363546
  15.5759599332   0.1382108120   0.0367954405
  15.6260434057   0.1289583686   0.0351514978
  15.6761268781   0.1212932020   0.0336828095
  15.7262103506   0.1150001552   0.0323711302
  15.7762938230   0.1099169808   0.0312011311
  15.8263772955   0.1059254717   0.0301599561
  15.8764607679   0.1029453204   0.0292368681
  15.9265442404   0.1009303117   0.0284229674
  15.9766277129   0.0998665944   0.0277109695
  16.0267111853   0.0997729140   0.0270950326
  16.0767946578   0.1007028094   0.0265706280
  16.1268781302   0.1027488627   0.0261344475
  16.1769616027   0.1060490979   0.0257843443
  16.2270450751   0.1107954507   0.0255193067
  16.2771285476   0.1172436337   0.0253394620
  16.3272120200   0.1257222191   0.0252461139
  16.3772954925   0.1366353376   0.0252418145
  16.4273789649   0.1504462865   0.0253304753
  16.4774624374   0.1676159337   0.0255175238
  16.5275459098   0.1884486803   0.0258101151
  16.5776293823   0.2127782376   0.0262174095
  16.6277128548   0.2394470320   0.0267509333
  16.6777963272   0.2656991243   0.0274250450
  16.7278797997   0.2870071879   0.0282575351
  16.7779632721   0.2981843994   0.0292703990
  16.8280467446   0.2959048732   0.0304908347
  16.8781302170   0.2808339042   0.0319525345
  16.9282136895   0.2571760915   0.0336973606
  16.9782971619   0.2301401748   0.0357775261
  17.0283806344   0.2037561913   0.0382584347
